timestamp, temperature.gpu, temperature.memory, power.draw [W]
2026/06/03 09:46:45.433, 75, N/A, 182.55 W
2026/06/03 09:46:50.434, 74, N/A, 193.14 W
2026/06/03 09:46:55.434, 73, N/A, 181.84 W
2026/06/03 09:47:00.435, 74, N/A, 166.23 W
2026/06/03 09:47:05.435, 74, N/A, 170.12 W
2026/06/03 09:47:10.436, 74, N/A, 185.94 W
2026/06/03 09:47:15.436, 75, N/A, 169.46 W
2026/06/03 09:47:20.436, 75, N/A, 184.40 W
2026/06/03 09:47:25.437, 73, N/A, 188.66 W
2026/06/03 09:47:30.437, 73, N/A, 181.47 W
2026/06/03 09:47:35.438, 74, N/A, 181.79 W
2026/06/03 09:47:40.438, 74, N/A, 182.31 W
2026/06/03 09:47:45.439, 74, N/A, 178.15 W
2026/06/03 09:47:50.439, 74, N/A, 174.16 W
2026/06/03 09:47:55.440, 73, N/A, 176.73 W
2026/06/03 09:48:00.440, 73, N/A, 180.86 W
2026/06/03 09:48:05.441, 74, N/A, 179.83 W
2026/06/03 09:48:10.441, 72, N/A, 180.95 W
2026/06/03 09:48:15.442, 73, N/A, 180.02 W
2026/06/03 09:48:20.442, 74, N/A, 184.98 W
2026/06/03 09:48:25.442, 73, N/A, 171.22 W
2026/06/03 09:48:30.443, 75, N/A, 175.12 W
2026/06/03 09:48:35.443, 73, N/A, 170.35 W
2026/06/03 09:48:40.444, 77, N/A, 176.49 W
2026/06/03 09:48:45.445, 73, N/A, 165.79 W
2026/06/03 09:48:50.445, 73, N/A, 171.87 W
2026/06/03 09:48:55.446, 73, N/A, 183.29 W
2026/06/03 09:49:00.446, 74, N/A, 183.92 W
2026/06/03 09:49:05.447, 74, N/A, 173.25 W
2026/06/03 09:49:10.447, 74, N/A, 189.78 W
2026/06/03 09:49:15.448, 73, N/A, 189.45 W
2026/06/03 09:49:20.449, 73, N/A, 180.62 W
2026/06/03 09:49:25.449, 74, N/A, 180.37 W
2026/06/03 09:49:30.450, 74, N/A, 178.65 W
2026/06/03 09:49:35.450, 74, N/A, 182.75 W
2026/06/03 09:49:40.450, 74, N/A, 179.45 W
2026/06/03 09:49:45.451, 75, N/A, 184.57 W
2026/06/03 09:49:50.452, 73, N/A, 178.12 W
2026/06/03 09:49:55.453, 73, N/A, 173.67 W
2026/06/03 09:50:00.453, 74, N/A, 176.75 W
2026/06/03 09:50:05.454, 74, N/A, 174.50 W
